,Institue
192,"Barasat Governm ent Medical College & Hospital, West Bengal,8 0
Jessore Road Banamali pur JL NO
80and Uttorhat JL no 78 Barasat North Twenty Four Pargana s 700124,
West Bengal, 700124"
193,"Barasat Government Medical College & Hospital, West Bengal
, 80 Jessore Road Banamalipur JL NO 80and Uttorhat JL no 78 Barasat North Twenty Four Parganas 700124,
West Bengal, 700124"
194,"Barasat Government Medical College & Hospital, West Bengal,80 Jessore Road Banamalipur JL NO 80and Uttorhat JL no 78 Barasat North Twenty Four Parganas 700124, West Bengal, 700124"
195,"Bharati Vidyapee th DU Dental College and Hospt., Pune,Bh arati Vidyapee th (Deemed to be Universit
y) Dental College
and Hospital, Pune, Maharas htra, 411043"
196,"Bharati Vidyapee th DU Medical College, Dhankaw adi, Pune- Satara Road, Pune, Maharas htra, 411043"
197,"Bharati Vidyapeeth DU Dental College and Hospt., Pune , Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune, Maharashtra, 411043"
198,"Bharati Vidyapeeth DU Dental College and Hospt., Pune,Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune, Maharashtra, 411043"
199,"Bharati Vidyapeeth DU Medical College , Dhankawadi, Pune- Satara Road, Pune, Maharashtra, 411043"
200,"Bharati Vidyapeeth DU Medical College,Dhankawadi, Pune-Satara Road, Pune, Maharashtra, 411043"
201,"Bhima Bhoi Medical College and Hospital , Balangir , PO - Rajendra College, District- Balangir, Odisha., Odisha, 767002"
202,"Bhima Bhoi Medical College and Hospital , Balangir, PO -
Rajendra College, District- Balangir, Odisha., Odisha, 767002"
203,"Bhima Bhoi Medical College and Hospital , Balangir,PO - Rajendra College, District- Balangir, Odisha., Odisha, 767002"
204,"Burdwan Dental College & Hospital, Burdwan , POWER HOUSE PARA, BURDWAN TOWN. PURBA BARDHAMAN. W.B- 713101"
205,"Burdwan Dental College & Hospital, Burdwan, POWER HOUSE PARA, BURDW AN TOWN. PURBA BARDHA MAN. W.B- 713101"
206,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101"
207,"C.
Institute of Medical Sciences
,
Chamara janagar, SY NO.124, YEDAPU RA VILLAGE
, KASABA HOBLI, CHAMA RAJANA GARA TALUK AND DISTRIC T,
Karnatak a, 571313"
208,"C. Institute of Medical Sciences,
Chamarajanagar , SY NO.124, YEDAPURA VILLAGE , KASABA HOBLI, CHAMARAJANAGAR A TALUK AND DISTRICT"
209,"C. Institute of Medical Sciences,
Chamarajanagar , SY NO.124, YEDAPURA VILLAGE , KASABA HOBLI, CHAMARAJANAGAR A TALUK AND DISTRICT,
Karnataka, 571313"
210,"C. Institute of Medical Sciences, Chamarajanagar,SY NO.124, YEDAPURA VILLAGE , KASABA HOBLI, CHAMARAJANAGARA TALUK AND DISTRICT"
211,"C. Institute of Medical Sciences, Chamarajanagar,SY NO.124, YEDAPURA VILLAGE , KASABA HOBLI, CHAMARAJANAGARA TALUK AND DISTRICT, Karnataka, 571313"
212,"CALCUT TA NATION AL MED COLL,K OLKATA, 32, GORAC HAND ROAD, PARK CIRCUS, KOLKAT A - 700014,
West Bengal, 700014"
213,"CALCUTTA NATIONAL MED COLL,KOLKATA , 32, GORACHAND ROAD, PARK CIRCUS, KOLKATA -
700014, West Bengal,
700014"
214,"CALCUTTA NATIONAL MED COLL,KOLKATA,32, GORACHAND ROAD, PARK CIRCUS, KOLKATA - 700014, West Bengal, 700014"
215,"CHENG ALPATT U MEDICA L COLL,C HENGAL PATTU, GST ROAD, CHENG ALPATT U-603 001 KANCHE EPURA M DISTRIC
T, Tamil Nadu, 603001"
216,"CHENGALPATTU MEDICAL COLL,CHENGALPAT TU , GST ROAD, CHENGALPATTU- 603 001 KANCHEEPURAM DISTRICT, Tamil Nadu, 603001"
217,"CHENGALPATTU MEDICAL COLL,CHENGALPATTU,GST ROAD, CHENGALPATTU- 603 001
KANCHEEPURAM DISTRICT, Tamil Nadu, 603001"
218,"CHENGALPATTU MEDICAL COLL,CHENGALPATTU,GST ROAD, CHENGALPATTU-603 001
KANCHEEPURAM DISTRICT, Tamil Nadu, 603001"
219,"CHHATT ISGARH INSTITU TE OF MEDICA L SCIENC ES, BILASP, GOND PARA, SADAR BAZAAR BILASPU R - 495001 (CG),
Chhattisg arh, 495001"
220,"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, BILASP , GOND PARA, SADAR BAZAAR BILASPUR - 495001
(CG), Chhattisgarh, 495001"
221,"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, BILASP,GOND PARA, SADAR BAZAAR BILASPUR - 495001 (CG), Chhattisgarh, 495001"
222,"CHIKKA BALLAP URA INSTITU TE OF MEDICA L SCIENC ES, KARNAT AKA,DIS TRICT HOSPIT AL CAMPU S MARULA SIDDES HWARA SWAMY TEMPLE ROAD CHIKKA BALLAP UR KARANA TAKA,
Karnatak a, 562101"
223,"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES, KARNATAKA , DISTRICT HOSPITAL CAMPUS MARULA SIDDESHWARA SWAMY TEMPLE ROAD CHIKKABALLAPUR KARANATAKA,
Karnataka, 562101"
224,"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES, KARNATAKA,DISTRICT HOSPITAL CAMPUS MARULA SIDDESHWARA SWAMY TEMPLE ROAD CHIKKABALLAPUR KARANATAKA, Karnataka, 562101"
225,"COIMBA TORE MEDICA L COLLEG E,COIMB ATORE, CIVIL AEROD ROME POST, AVINAS HI ROAD, PEELAM EDU, COIMBA TORE,
Tamil Nadu, 641014"
226,"COIMBATORE MEDICAL COLLEGE,COIMBAT ORE , CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE, Tamil Nadu, 641014"
227,"COIMBATORE MEDICAL COLLEGE,COIMBATORE,CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE, Tamil Nadu, 641014"
228,"COLLEG E OF MEDICIN
E and JNM HOSPIT AL, KALYANI
,A Block PS-
Kalyani District - Nadia,W est Bengal,P in 741235,
West Bengal, 741235"
229,"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI
, A Block PS- Kalyani
District - Nadia,West Bengal,Pin 741235,
West Bengal, 741235"
230,"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI
, A BlockPS- KalyaniDistrict - Nadia,West Bengal,Pin 741235"
231,"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI,A Block
PS- Kalyani
District - Nadia,West Bengal,Pin 741235, West Bengal, 741235"
232,"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI,A BlockPS- KalyaniDistrict - Nadia,West Bengal,Pin 741235"
233,"Chandul al Chandra kar Memorial Governm ent Medical College, Durg,Ch andulal Chandra kar Memorial Governm ent Medical College, Kurud Road, Near Rungta College, Kachand ur, Chhattisg arh, 490024"
234,"Chandulal Chandrakar Memorial Government Medical College, Durg , Chandulal Chandrakar Memorial Government Medical College, Kurud Road, Near Rungta College, Kachandur, Chhattisgarh, 490024"
235,"Chandulal Chandrakar Memorial Government Medical College, Durg,Chandulal Chandrakar Memorial Government Medical College, Kurud Road, Near Rungta College, Kachandur, Chhattisgarh, 490024"
236,"Chettina d Hos. and Res. Inst., Kanchee puram,R ajiv Gandhi Salai, Kelamba kkam, Chengal pattu District, Tamil Nadu, 603103"
237,"Chettinad Hos. and Res. Inst., Kancheepuram , Rajiv Gandhi Salai, Kelambakkam, Chengalpattu District, Tamil Nadu, 603103"
238,"Chettinad Hos. and Res. Inst., Kancheepuram,Rajiv Gandhi Salai, Kelambakkam, Chengalpattu District, Tamil Nadu, 603103"
239,"Chhindw ara Institute of Medical Sciences
,Teacher s Colony, Chhindw ara, Madhya Pradesh 480001,
Madhya Pradesh, 480001"
240,"Chhindwara Institute of Medical Sciences , Teachers Colony, Chhindwara, Madhya Pradesh 480001, Madhya Pradesh, 480001"
241,"Chhindwara Institute of Medical Sciences,Teachers Colony, Chhindwara, Madhya Pradesh 480001, Madhya Pradesh, 480001"
242,"Chikkam agaluru Institute of Medical Sciences
,DIRECT OR CHIKKA MAGALU RU INSTITU TE OF MEDICA L SCIENC ES ARALAG UPPE MALLEG OWDA DISTRIC T HOSPIT AL
AZA,
Karnatak a, 577101"
243,"Chikkamagaluru Institute of Medical Sciences , DIRECTOR CHIKKAMAGALURU INSTITUTE OF MEDICAL SCIENCES ARALAGUPPE MALLEGOWDA DISTRICT HOSPITAL
AZA, Karnataka, 577101"
244,"Chikkamagaluru Institute of Medical Sciences,DIRECTOR CHIKKAMAGALURU INSTITUTE OF MEDICAL SCIENCES ARALAGUPPE MALLEGOWDA DISTRICT HOSPITAL
AZA, Karnataka, 577101"
245,"Chitradur ga Medical College and Researc h Institute, P B
Road Chitradur ga, Karnatak a, 577501"
246,"Chitradurga Medical College and Research Institute , P B Road Chitradurga, Karnataka, 577501"
247,"Chitradurga Medical College and Research Institute,P B Road Chitradurga, Karnataka, 577501"
248,"College Governm ent Medical College Alwar,Go vernment Medical College Alwar Jail Circle alwar, Rajastha n, 301001"
249,"College Government Medical College Alwar , Government Medical College Alwar
Jail Circle alwar, Rajasthan, 301001"
250,"College Government Medical College Alwar,Government Medical College Alwar
Jail Circle alwar, Rajasthan, 301001"
251,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical College
, Ahilya Bai College of Nursing
Lok Nayak Hospital Jawaharlal Nehru Marg, Delhi (NCT), 110002 (Female Seat only )"
252,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical College, Ahilya Bai College of Nursing Lok Nayak Hospital Jawaharl al Nehru Marg, Delhi (NCT), 110002
(Female Seat only
)"
253,"College of Nursing Ahilya Bai College of Nursing, Maulana Azad Medical College,Ahilya Bai College of Nursing
Lok Nayak Hospital
Jawaharlal Nehru Marg, Delhi (NCT), 110002"
254,"College of Nursing BHU, VARANA
SI,The Director Institute of Medical Sciences Banaras Hindu Universit y, Uttar Pradesh, 221005"
255,"College of Nursing BHU, VARANASI ,
The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005"
256,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005"
257,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL , Bhopal Memorial Hospital and Research Centre Raisen  bypass road karond bhopal, Madhya Pradesh, 462038"
258,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial Hospital and Research Centre Raisen  bypass road karond bhopal, Madhya Pradesh, 462038"
259,"College of Nursing Dr. RML
Hospital, New Delhi,Ba ba Kharak Singh Marg College of Nursing Dr RML
Hospital, Delhi (NCT), 110001
(Female Seat only
)"
260,"College of Nursing Dr. RML Hospital, New Delhi , Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001 (Female Seat only )"
261,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001"
262,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001 (Female Seat only )"
263,"College of Nursing Florence Nightinga le CON, New Delhi,coll egeofnur singgtbh @gmail.c om, Delhi (NCT), 110095
(Female Seat only
)"
264,"College of Nursing Florence Nightingale CON, New Delhi , collegeofnursinggtbh @gmail.com, Delhi (NCT), 110095
(Female Seat only )"
265,"College of Nursing Florence Nightingale CON, New Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095"
266,"College of Nursing Florence Nightingale CON, New Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095 (Female Seat only )"
267,"College of Nursing Kasturba Hospital, Delhi , College of Nursing Kasturba Hospital Daryganj, Delhi, Delhi (NCT), 110002"
268,"College of Nursing Kasturba Hospital, Delhi,College of Nursing Kasturba Hospital Daryganj, Delhi, Delhi (NCT), 110002"
269,"College of Nursing Kasturba Hospital, Delhi,College of Nursing Kasturba Hospital Daryganj, Delhi, Delhi (NCT), 110002 (Female Seat only )"
270,"College of Nursing LHMC,
New Delhi,Col lege of Nursing Lady Hardinge Medical College & Associat ed Hospitals New Delhi, Delhi (NCT), 110001
(Female Seat only
)"
271,"College of Nursing LHMC, New Delhi , College of Nursing Lady Hardinge Medical College & Associated Hospitals New Delhi, Delhi (NCT), 110001
(Female Seat only )"
272,"College of Nursing LHMC, New Delhi,College of Nursing Lady Hardinge Medical College & Associated Hospitals New Delhi, Delhi (NCT), 110001"
273,"College of Nursing LHMC, New Delhi,College of Nursing Lady Hardinge Medical College & Associated Hospitals New Delhi, Delhi (NCT), 110001 (Female Seat only )"
274,"College of Nursing RAK CON,
New Delhi,Raj kumari Amrit Kaur College of Nursing Lajpat Nagar IV Near Moolcha nd Metro Station, Delhi (NCT), 110024
(Female Seat only
)"
275,"College of Nursing RAK CON, New Delhi
, Rajkumari Amrit Kaur College of Nursing Lajpat Nagar IV Near Moolchand Metro Station, Delhi (NCT), 110024
(Female Seat only )"
276,"College of Nursing RAK CON, New Delhi,Rajkumari Amrit Kaur College of Nursing Lajpat Nagar IV Near Moolchand Metro Station, Delhi (NCT), 110024"
277,"College of Nursing RAK CON, New Delhi,Rajkumari Amrit Kaur College of Nursing Lajpat Nagar IV Near Moolchand Metro Station, Delhi (NCT), 110024 (Female Seat only )"
278,"College of Nursing Safdarju ng Hospital, New Delhi,Col lege of Nursing VMMC
and Safdarja ng Hospital New Delhi, Delhi (NCT), 110029
(Female Seat only
)"
279,"College of Nursing Safdarjung Hospital, New Delhi , College of Nursing VMMC and Safdarjang Hospital New Delhi, Delhi (NCT), 110029
(Female Seat only )"
280,"College of Nursing Safdarjung Hospital, New Delhi,College of Nursing VMMC and Safdarjang Hospital New Delhi, Delhi (NCT), 110029"
281,"College of Nursing Safdarjung Hospital, New Delhi,College of Nursing VMMC and Safdarjang Hospital New Delhi, Delhi (NCT), 110029 (Female Seat only )"
282,"College of Nursing, Hindu Rao Hospital, Delhi , COLLEGE OF NURSING , HINDU RAO HOSPITAL
,MALKA GANJ DELHI 110007, Delhi (NCT),
110007"
283,"College of Nursing, Hindu Rao Hospital, Delhi,COLLEGE OF NURSING , HINDU RAO HOSPITAL ,MALKA GANJ DELHI 110007, Delhi (NCT), 110007"
284,"DATTA MEGHE MEDICA L COLLEG E WANAD ONGRI HINGNA NAGPU
R,Hinaga Road Wanado ngri Nagpur Maharas htra India, Maharas htra, 441110"
285,"DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR ,
Hinaga Road Wanadongri Nagpur Maharashtra India, Maharashtra, 441110"
286,"DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR,Hinaga
Road Wanadongri Nagpur Maharashtra India, Maharashtra, 441110"
287,"DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR,Hinaga Road
Wanadongri Nagpur Maharashtra India, Maharashtra, 441110"
288,"DC, RIMS,
Imphal,P O
Lamphel pat, Imphal West District, Manipur, 795004"
289,"DC, RIMS, Imphal , PO Lamphelpat, Imphal West District, Manipur, 795004"
290,"DC, RIMS, Imphal,PO Lamphelpat, Imphal West District, Manipur, 795004"
291,"DR. R. AHMED DENT.C OLL & HOSP,K OLKATA, 114 AJC BOSE ROAD,
West Bengal, 700014"
292,"DR. R. AHMED DENT.COLL & HOSP,KOLKATA , 114 AJC BOSE
ROAD, West Bengal, 700014"
293,"DR. R. AHMED DENT.COLL & HOSP,KOLKATA , 114 AJC BOSE ROAD"
294,"DR. R. AHMED DENT.COLL & HOSP,KOLKATA,114 AJC BOSE ROAD"
295,"DR. R. AHMED DENT.COLL & HOSP,KOLKATA,114 AJC BOSE ROAD, West Bengal, 700014"
296,"DR. VAISHA MPAYA M MEMORI AL M.C.,SH OLAPUR
,In Front of District Civil Court, Solapur., Maharas htra, 413003"
297,"DR. VAISHAMPAYAM MEMORIAL M.C.,SHOLAPUR , In
Front of District Civil Court, Solapur., Maharashtra, 413003"
298,"DR. VAISHAMPAYAM MEMORIAL M.C.,SHOLAPUR,In Front of District Civil Court, Solapur., Maharashtra, 413003"
299,"DR.RAJ ENDRA PRASAD MC, TANDA,
Dr.Rajen dra Prasad Govt.Me dical College Kangra at Tanda, H.P.,
Himachal Pradesh, 176002"
300,"DR.RAJENDRA PRASAD MC,
TANDA , Dr.Rajendra Prasad Govt.Medical College Kangra at Tanda, H.P., Himachal Pradesh, 176002"
301,"DR.RAJENDRA PRASAD MC, TANDA,Dr.Rajendra Prasad Govt.Medical College Kangra at Tanda, H.P., Himachal Pradesh, 176002"
302,"DR.S.C. GOVT MEDICA L COLLEG E,,NAND ED,VISH NUPURI NANDED MAHAR ASHTRA 431606,
Maharas htra, 431606"
303,"DR.S.C.GOVT MEDICAL COLLEGE,,NANDED
, VISHNUPURI NANDED MAHARASHTRA
431606, Maharashtra,
431606"
304,"DR.S.C.GOVT MEDICAL COLLEGE,,NANDED,VISHNUPURI NANDED MAHARASHTRA 431606, Maharashtra, 431606"
305,"DR.S.N. MEDICA L COLLEG E, JODHPU R,RESID ENCY ROAD SHASTR I NAGAR JODHPU R RAJAST HAN 342
003,
Rajastha n, 342003"
306,"DR.S.N. MEDICAL COLLEGE, JODHPUR , RESIDENCY ROAD SHASTRI NAGAR JODHPUR RAJASTHAN 342
003, Rajasthan,
342003"
307,"DR.S.N. MEDICAL COLLEGE, JODHPUR,RESIDENCY ROAD SHASTRI NAGAR JODHPUR RAJASTHAN 342 003, Rajasthan, 342003"
308,"Darbhan ga Medical College, Laherias arai,She etal Prasad Marg, Laherias arai, Darbhan ga, Bihar, 846003"
309,"Darbhanga Medical College, Laheriasarai
, Sheetal Prasad Marg, Laheriasarai, Darbhanga, Bihar, 846003"
310,"Darbhanga Medical College, Laheriasarai,Sheetal Prasad Marg, Laheriasarai, Darbhanga, Bihar, 846003"
311,"Deben Mahata Governm ent Medical College & Hospital, Vill Hatuara PO
Vivekana nda Nagar PS
Purulia Muffasil Dist Purulia Pin 723147,
West Bengal, 723147"
312,"Deben Mahata Government Medical College & Hospital , Vill  Hatuara PO Vivekananda Nagar PS  Purulia Muffasil Dist  Purulia  Pin 723147, West Bengal,
723147"
313,"Deben Mahata Government Medical College & Hospital,Vill  Hatuara PO  Vivekananda Nagar  PS  Purulia Muffasil Dist  Purulia  Pin 723147, West Bengal, 723147"
314,"Dental Institue, RIMS,
Ranchi,D ental College, Rajendra Institute of Medical Sciences
, Bariatu, Ranchi, Jharkhan d, 843009"
315,"Dental Institue, RIMS, Ranchi , Dental College, Rajendra Institute of Medical Sciences, Bariatu, Ranchi, Jharkhand, 843009"
316,"Dental Institue, RIMS, Ranchi,Dental College, Rajendra Institute of Medical Sciences, Bariatu, Ranchi, Jharkhand, 843009"
317,"Dhubri Medical College, Assam , P.O. Jhagrarpar SPO, Dhubri, Assam, PIN - 783325, Assam,
783325"
318,"Dhubri Medical College, Assam,P
.O.
Jhagrarp ar SPO, Dhubri, Assam, PIN - 783325,
Assam, 783325"
319,"Dhubri Medical College, Assam,P.O. Jhagrarpar SPO, Dhubri, Assam, PIN - 783325, Assam, 783325"
320,"Diamond Harbour Govt Medical College
, New Town, Post- Diamond Harbour, PS- Diamond Harbour, District South 24 Parganas,
West Bengal, 743331"
321,"Diamond Harbour Govt Medical College, New Town, Post- Diamond Harbour, PS-
Diamond Harbour, District South 24 Pargana s, West Bengal, 743331"
322,"Diamond Harbour Govt Medical College,New Town, Post-Diamond Harbour, PS- Diamond Harbour, District South 24 Parganas, West Bengal, 743331"
323,"Diphu Medical College & Hospital, Assam , principaldiphu1@gma il.com, Assam, 782462"
324,"Diphu Medical College & Hospital, Assam,pr incipaldip hu1@gm ail.com, Assam, 782462"
325,"Diphu Medical College & Hospital, Assam,principaldiphu1@gmail.com, Assam, 782462"
326,"Dr Ram Manohar Lohia Inst. of Med.
Sce., Lucknow, Vibhuti Khand Gomti Nagar Lucknow, Uttar Pradesh, 226010"
327,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow , Vibhuti Khand Gomti Nagar Lucknow, Uttar Pradesh, 226010"
328,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow,Vibhuti Khand Gomti Nagar
Lucknow, Uttar Pradesh, 226010"
329,"Dr.
Ziauddin Ahmed Dental College and Hospital, ALIGAR H,ALIGA RH MUSLIM UNIVER SITY, ALIGAR
H, Uttar Pradesh, 202002"
330,"Dr. B.R.
Ambedka r State Institute of Medical Sciences
,Sector 56
Mohali, Punjab, 160055"
331,"Dr. B.R. Ambedkar State Institute of Medical Sciences  , Sector 56 Mohali,
Punjab, 160055"
332,"Dr. B.R. Ambedkar State Institute of Medical Sciences ,Sector 56 Mohali, Punjab, 160055"
333,"Dr. B.S.A.
Medical College, Delhi,DR
.BABA SAHEB AMBEDK AR MEDICA L COLLEG
E and HOSPIT AL, ROHINI SEC-6, DELHI- 110085,
Delhi (NCT), 110085"
334,"Dr. B.S.A. Medical College, Delhi , DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE and HOSPITAL, ROHINI SEC-6, DELHI-110085, Delhi (NCT), 110085"
335,"Dr. B.S.A. Medical College, Delhi , DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE, ROHINI SEC-6, DELHI-110085, Delhi (NCT), 110085"
336,"Dr. B.S.A. Medical College, Delhi,DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE and HOSPITAL,
ROHINI SEC-6, DELHI-110085, Delhi (NCT), 110085"
337,"Dr. B.S.A. Medical College, Delhi,DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE,
ROHINI SEC-6, DELHI-110085, Delhi (NCT), 110085"
338,"Dr. DY
Patil Dental College and Hosp.
Navi Mumbai, Dr. D. Y.
Patil Vidyanag ar, Sector 7, Nerul, Navi Mumbai, Maharas htra, 400706"
339,"Dr. DY
Patil Dental College and Hosp.
Pune,Ma hesh Nagar, Pimpri, Pune - 411018,
Maharas htra, 411018"
340,"Dr. DY
Patil Medical College and Hospt., Pune,Dr.
D. Y. Patil
Medical College, Hospital and Researc h Centre, Sant Tukaram Nagar, Pimpri, Pune., Maharas htra, 411018"
341,"Dr. DY
Patil Medical College, Navi Mumbai, Plot No.
2, Sector
7, Nerul, Navi Mumbai, Maharas htra, Maharas htra, 400706"
342,"Dr. DY Patil Dental College and Hosp. Navi Mumbai , Dr. D.
Y. Patil Vidyanagar, Sector 7,
Nerul, Navi Mumbai, Maharashtra, 400706"
343,"Dr. DY Patil Dental College and Hosp. Navi Mumbai,Dr. D. Y. Patil Vidyanagar, Sector 7,
Nerul, Navi Mumbai, Maharashtra, 400706"
344,"Dr. DY Patil Dental College and Hosp. Navi Mumbai,Dr. D. Y. Patil Vidyanagar, Sector 7, Nerul, Navi Mumbai, Maharashtra, 400706"
345,"Dr. DY Patil Dental College and Hosp. Pune , Mahesh Nagar, Pimpri, Pune - 411018, Maharashtra,
411018"
346,"Dr. DY Patil Dental College and Hosp. Pune,Mahesh Nagar, Pimpri, Pune - 411018, Maharashtra, 411018"
347,"Dr. DY Patil Medical College and Hospt., Pune , Dr. D. Y. Patil Medical College, Hospital and Research Centre, Sant Tukaram Nagar, Pimpri, Pune., Maharashtra, 411018"
348,"Dr. DY Patil Medical College and Hospt., Pune , Mahesh Nagar, Pimpri, Pune - 411 018,
Maharashtra, 411018"
349,"Dr. DY Patil Medical College and Hospt., Pune,Dr. D. Y. Patil Medical College, Hospital and Research Centre, Sant Tukaram Nagar, Pimpri, Pune., Maharashtra, 411018"
350,"Dr. DY Patil Medical College and Hospt., Pune,Mahesh  Nagar, Pimpri, Pune - 411 018, Maharashtra, 411018"
351,"Dr. DY Patil Medical College, Navi Mumbai
, Plot No. 2, Sector 7, Nerul, Navi Mumbai, Maharashtra, Maharashtra, 400706"
352,"Dr. DY Patil Medical College, Navi Mumbai,Plot No. 2, Sector 7, Nerul, Navi Mumbai, Maharashtra, Maharashtra, 400706"
353,"Dr. DYP
Edu. Soc. Deemed Uni., Kolhapur
,869, E
Ward, D.
Y. Patil Vidyanag
ar, Kasaba Bavada, Kolhapur 416006,
Maharas htra, 416006"
354,"Dr. DYP Edu. Soc. Deemed Uni., Kolhapur , 869, E Ward, D. Y. Patil Vidyanagar, Kasaba Bavada, Kolhapur 416006, Maharashtra,
416006"
355,"Dr. DYP Edu. Soc. Deemed Uni., Kolhapur,869, E Ward, D. Y. Patil Vidyanagar, Kasaba Bavada, Kolhapur 416006, Maharashtra, 416006"
356,"Dr. YS
Parmar Govt. Medical College, Nahan,N ahan, District Sirmaur, Himachal Pradesh, Himachal Pradesh, 173001"
357,"Dr. YS Parmar Govt. Medical College, Nahan , Nahan, District Sirmaur, Himachal Pradesh, Himachal Pradesh, 173001"
358,"Dr. YS Parmar Govt. Medical College, Nahan,Nahan, District Sirmaur, Himachal Pradesh, Himachal Pradesh, 173001"
359,"Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH , ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002"
